Source;Type;Target;Weight
AnnaAndreevna;Undirected;Mnogieizgostej;2
ArtemijFilippoovich;Undirected;Pochtmejster;1
LukaLukich;Undirected;MarjaAntonovna;2
ArtemijFilippovichZemljanika;Undirected;Dobchinskij;5
AnnaAndreevna;Undirected;ZhenaLukiLukicha;1
Kuptsy;Undirected;Rastakovskij;1
Chastnyjpristav;Undirected;Odnaizdam;1
Bobchinskij;Undirected;Chastnyjpristav;3
Hlestakov;Undirected;Slesarsha;2
Bobchinskij;Undirected;Pochtmejster;3
Hlestakov;Undirected;Kuptsy;2
Chastnyjpristav;Undirected;Kuptsy;1
Odinizkuptsov;Undirected;Unter-ofitsersha;1
Kuptsy;Undirected;Odinizkuptsov;2
ArtemijFilippovichZemljanika;Undirected;Kuptsy;1
ArtemijFilippovichZemljanika;Undirected;MarjaAntonovna;2
Lekar;Undirected;Pochtmejster;1
Bobchinskij;Undirected;Hlestakov;3
Dobchinskij;Undirected;ZhenaKorobkina;2
Bobchinskij;Undirected;MarjaAntonovna;2
Bobchinskij;Undirected;Odnaizdam;1
Kuptsy;Undirected;Mnogieizgostej;1
Bobchinskij;Undirected;Gostja;2
Derzhimorda;Undirected;Kuptsy;1
AmmosFedorovichLjapkin-Tjapkin;Undirected;ArtemijFilippovichZemljanika;6
ArtemijFilippoovich;Undirected;ArtemijFilippovichZemljanika;1
Gostja;Undirected;Lulukov;1
Kuptsy;Undirected;Osip;2
LukaLukich;Undirected;Lulukov;1
ArtemijFilippovichZemljanika;Undirected;Odnaizdam;1
AnnaAndreevna;Undirected;Odnaizdam;1
Bobchinskij;Undirected;Svistunov;1
ArtemijFilippoovich;Undirected;LukaLukich;1
AmmosFedorovichLjapkin-Tjapkin;Undirected;ArtemijFilippoovich;1
Gorodnichij;Undirected;ZhenaKorobkina;2
Korobkin;Undirected;Ljuljukov;1
AmmosFedorovichLjapkin-Tjapkin;Undirected;Chastnyjpristav;3
Bobchinskij;Undirected;Mnogieizgostej;2
AmmosFedorovichLjapkin-Tjapkin;Undirected;Kuptsy;1
Dobchinskij;Undirected;Odnaizdam;1
AnnaAndreevna;Undirected;Lulukov;1
Mnogieizgostej;Undirected;Odnaizdam;1
AmmosFedorovichLjapkin-Tjapkin;Undirected;Lekar;1
MarjaAntonovna;Undirected;Odnaizdam;1
Mishka;Undirected;Osip;1
GolosJamschika;Undirected;Hlestakov;1
Dobchinskij;Undirected;ZhenaLukiLukicha;1
Chastnyjpristav;Undirected;Dobchinskij;3
ArtemijFilippovichZemljanika;Undirected;Lulukov;1
LukaLukich;Undirected;Rastakovskij;2
Dobchinskij;Undirected;LukaLukich;4
Gorodnichij;Undirected;Rastakovskij;2
