Source;Type;Target;Weight
Bojare;Undirected;Malchishka;1
Plennik;Undirected;Samozvanets;1
Malchishki;Undirected;Odin;1
Muzhiknaamvone;Undirected;Pushkin;1
Grigorij;Undirected;Pervyjpristav;1
Nischij;Undirected;Odiniznaroda;1
Schelkalov;Undirected;Tretij;1
Ljah;Undirected;Vse;1
Kurbskij;Undirected;Pushkin;1
Feodor;Undirected;Tretij;2
Boris;Undirected;Knjazvorotynskij;1
Drugoj;Undirected;Malchishki;1
Poet;Undirected;Vse;1
Samozvanets;Undirected;Vse;2
Staruha;Undirected;Tretij;1
Jurodivyj;Undirected;Tretij;1
Chetvertyj;Undirected;Jurodivyj;1
Semengodunov;Undirected;Tsar;1
Gavrilapushkin;Undirected;Vse;1
Gavrilapushkin;Undirected;Poet;1
Basmanov;Undirected;Pushkin;1
Drugoj;Undirected;Marzheret;1
Drugoj;Undirected;Shestoj;1
Marzheret;Undirected;Vrozen;1
Drugoj;Undirected;Pervyjbojarin;1
Mosalskij;Undirected;Tretij;1
Shujskij;Undirected;Tsar;1
Mamka;Undirected;Tsar;1
Chetvertyj;Undirected;Shestoj;1
Basmanov;Undirected;Feodor;1
Chetvertyj;Undirected;Tsar;2
Drugoj;Undirected;Knjazshujskij;1
Hozjajka;Undirected;Odinpristav;1
Nischij;Undirected;Strazha;1
Bojare;Undirected;Jurodivyj;1
Hozjajka;Undirected;Misail;1
Odinizbegletsov;Undirected;Voiny;1
Malchishka;Undirected;Tsar;1
Hozjajka;Undirected;Varlaam;1
Odiniznih;Undirected;Tsar;1
Pristav;Undirected;Vtoroj;1
Odin;Undirected;Vtoroj;1
Ksenija;Undirected;Pervyj;1
Lzhedimitrij;Undirected;Pushkin;1
Karela;Undirected;Vse;1
Drugoj;Undirected;Vse;1
Feodor;Undirected;Mamka;1
Odin;Undirected;Pervyj;2
Feodor;Undirected;Pjatyj;1
Basmanov;Undirected;Pervyjbojarin;1
Hruschov;Undirected;Karela;1
Malchishki;Undirected;Tretij;1
Drugoj;Undirected;Ljahi;1
Basmanov;Undirected;Knjazshujskij;1
Voiny;Undirected;Vrozen;1
Jurodivyj;Undirected;Odiniznih;1
Igumen;Undirected;Patriarh;1
Jurodivyj;Undirected;Malchishki;1
Staruha;Undirected;Tsar;1
Gavrilapushkin;Undirected;Kurbskij;1
Bojarin;Undirected;Feodor;1
Ksenija;Undirected;Tsar;1
Odin;Undirected;Odiniznih;1
Pervyj;Undirected;Vtorojpristav;1
Marina;Undirected;Samozvanets;1
Feodor;Undirected;Odin;1
Misail;Undirected;Pristavy;1
Hruschov;Undirected;Pater;1
Hruschov;Undirected;Poet;1
Narod;Undirected;Schelkalov;1
Drugoj;Undirected;Feodor;2
Odinpristav;Undirected;Pervyjpristav;1
Bojare;Undirected;Staruha;1
Ksenija;Undirected;Mamka;1
Hozjajka;Undirected;Vtorojpristav;1
Ksenija;Undirected;Shujskij;1
Bojare;Undirected;Boris;1
Narod;Undirected;Odiniznaroda;1
Nischij;Undirected;Pervyj;1
Dimitrij;Undirected;Vrozen;1
Chetvertyj;Undirected;Narod;1
Narod;Undirected;Tsar;1
Karela;Undirected;Pater;1
Kurbskij;Undirected;Poljak;1
Grigorij;Undirected;Hozjajka;1
Drugojpristav;Undirected;Grigorij;1
Baba;Undirected;Odin;1
Chetvertyj;Undirected;Odin;2
Karela;Undirected;Kurbskij;1
Chetvertyj;Undirected;Malchishka;1
Drugoj;Undirected;Odiniznaroda;1
Drugoj;Undirected;Plennik;1
Kurbskij;Undirected;Poet;1
Bojare;Undirected;Pjatyj;1
Chetvertyj;Undirected;Tretij;2
Bojare;Undirected;Drugoj;2
Pervyj;Undirected;Pristavy;1
Ljah;Undirected;Samozvanets;2
Poljak;Undirected;Samozvanets;1
Bojare;Undirected;Malchishki;1
Mosalskij;Undirected;Nischij;1
Drugojpristav;Undirected;Odinpristav;1
Pervyj;Undirected;Pristav;1
Pervyj;Undirected;Vtoroj;3
Malchishki;Undirected;Tsar;1
Odin;Undirected;Shestoj;1
Varlaam;Undirected;Vtorojpristav;1
Drugojpristav;Undirected;Varlaam;1
Misail;Undirected;Vtorojpristav;1
Basmanov;Undirected;Tretij;1
Bojarin;Undirected;Drugoj;1
Drugojpristav;Undirected;Pervyj;1
Odin;Undirected;Schelkalov;1
Knjazshujskij;Undirected;Odinbojarin;1
Malchishka;Undirected;Odin;1
Hozjajka;Undirected;Pervyjpristav;1
Odinpristav;Undirected;Pristav;1
Shujskij;Undirected;Vorotynskij;2
Mosalskij;Undirected;Pervyj;1
Jurodivyj;Undirected;Staruha;1
Drugoj;Undirected;Nischij;1
Feodor;Undirected;Pervyj;1
Poljak;Undirected;Pushkin;1
Pristav;Undirected;Varlaam;1
Drugojpristav;Undirected;Pervyjpristav;1
Bojare;Undirected;Narod;1
Hruschov;Undirected;Kurbskij;1
Feodor;Undirected;Semengodunov;1
Odiniznih;Undirected;Tretij;1
Drugojpristav;Undirected;Misail;1
Knjazshujskij;Undirected;Tsar;1
Ksenija;Undirected;Strazha;1
Basmanov;Undirected;Bojarin;1
Dimitrij;Undirected;Marina;1
Dama;Undirected;Marina;1
Drugoj;Undirected;Pervyj;3
Drugoj;Undirected;Tretij;5
Poet;Undirected;Samozvanets;1
Marina;Undirected;Vishnevetskij;1
Jurodivyj;Undirected;Malchishka;1
Misail;Undirected;Odinpristav;1
